Alignment Data
x,y,z,zd
8.4035593863,0.0005582676,-1.4262114924,0.0001903045
8.4024843697,0.0005775395,-1.4257865110,0.0001862925
8.4016894843,0.0005656442,-1.4254715036,0.0001840289
8.4002473499,0.0005699697,-1.4249047056,0.0001750724
8.3981477337,0.0005651034,-1.4240711286,0.0001700809
8.3951861432,0.0005698152,-1.4228930645,0.0001646712
8.3914509654,0.0005724413,-1.4213970260,0.0001670542
8.3867645196,0.0005660688,-1.4195227680,0.0001656360
8.3821976828,0.0005706260,-1.4176751472,0.0001837652
8.3775528721,0.0005611638,-1.4158148474,0.0001816776
8.3731167398,0.0005645238,-1.4140479042,0.0001683892
8.3690304282,0.0005625927,-1.4124163254,0.0001588469
8.3649016414,0.0005615885,-1.4107472380,0.0001685491
8.3612708420,0.0005627471,-1.4092827930,0.0001727787
8.3575627985,0.0005609704,-1.4077930767,0.0001702975
8.3536861227,0.0005659525,-1.4062221460,0.0001802055
8.3493008627,0.0005708187,-1.4044596324,0.0001757505
8.3452584641,0.0005601206,-1.4028265708,0.0001789409
8.3411742439,0.0005680765,-1.4011822270,0.0001755581
8.3371052929,0.0005638282,-1.3995418665,0.0001733897
8.3326900723,0.0005601205,-1.3977552580,0.0001766382
8.3287619367,0.0005664157,-1.3961623575,0.0001820294
8.3249146155,0.0005558335,-1.3946143923,0.0001743604
8.3211180203,0.0005592321,-1.3930775235,0.0001753697
8.3169660798,0.0005581893,-1.3913964141,0.0001760604
8.3132427382,0.0005601589,-1.3898891097,0.0001757193
8.3094895873,0.0005608154,-1.3883653100,0.0001791621
8.3056447483,0.0005552153,-1.3868124521,0.0001738775
8.3012751190,0.0005614719,-1.3850448770,0.0001698754
8.2971790059,0.0005549063,-1.3833866167,0.0001667445
8.2930799680,0.0005605449,-1.3817213680,0.0001687620
8.2891029172,0.0005531683,-1.3801137684,0.0001620289
8.2848662027,0.0005547517,-1.3783901803,0.0001652645
8.2809734894,0.0005520482,-1.3768155460,0.0001586930
8.2770371020,0.0005567599,-1.3752085016,0.0001662925
8.2731131602,0.0005469115,-1.3736163702,0.0001635602
8.2692705328,0.0005557557,-1.3720430646,0.0001746152
8.2650555723,0.0005435128,-1.3703591213,0.0001444610
8.2611196072,0.0005442080,-1.3687584984,0.0001440253
8.2570956271,0.0005422383,-1.3671178108,0.0001474567
8.2530617289,0.0005418134,-1.3654819524,0.0001416473
8.2486786025,0.0005379126,-1.3637004293,0.0001389792
8.2447983685,0.0005424313,-1.3621296044,0.0001299980
8.2409594325,0.0005355567,-1.3605680575,0.0001282769
8.2371366884,0.0005337029,-1.3590055113,0.0001338969
8.2329615120,0.0005393801,-1.3572969918,0.0001416881
8.2291655113,0.0005362904,-1.3557505991,0.0001415893
8.2253405504,0.0005328145,-1.3541946641,0.0001390450
8.2213658926,0.0005331235,-1.3525813906,0.0001326648
8.2169134352,0.0005409635,-1.3507641511,0.0001353581
8.2128833332,0.0005325441,-1.3491152239,0.0001417142
8.2089242285,0.0005315785,-1.3474958186,0.0001473685
8.2050684471,0.0005333937,-1.3459309684,0.0001404916
8.2009190613,0.0005315399,-1.3442470758,0.0001328969
8.1971455616,0.0005335868,-1.3427191282,0.0001225353
8.1932639273,0.0005307288,-1.3411235742,0.0001356657
8.1893804463,0.0005301108,-1.3395277904,0.0001482597
8.1850660958,0.0005256694,-1.3377810800,0.0001361334
8.1810585732,0.0005306515,-1.3361440322,0.0001394579
8.1770094220,0.0005170569,-1.3345048172,0.0001280275
8.1730075910,0.0005285659,-1.3328800186,0.0001215398
8.1691129461,0.0005114182,-1.3312865222,0.0001275262
8.1649180966,0.0005258624,-1.3295693885,0.0001348968
8.1610550178,0.0005130016,-1.3280152589,0.0001146111
8.1571133119,0.0005248582,-1.3264137676,0.0001097830
8.1531504109,0.0005144692,-1.3247924216,0.0001163324
8.1488914010,0.0005264030,-1.3230525764,0.0001209244
8.1450605231,0.0005099119,-1.3214956007,0.0001172762
8.1411358766,0.0005280637,-1.3199059001,0.0001083640
8.1371386669,0.0005113408,-1.3182837072,0.0001026222
8.1327701151,0.0005249354,-1.3165103293,0.0000971240
8.1288946563,0.0005122677,-1.3149242708,0.0001053680
8.1250998833,0.0005270209,-1.3133779702,0.0001069707
8.1212598913,0.0005155118,-1.3118053998,0.0001167194
8.1169335035,0.0005225408,-1.3100571025,0.0001046005
8.1129894390,0.0005130014,-1.3084467470,0.0001104582
8.1091461819,0.0005143918,-1.3068808636,0.0001131919
8.1052946649,0.0005134649,-1.3053206970,0.0001071990
8.1009704293,0.0005147393,-1.3035666134,0.0001033351
8.0969174767,0.0005106841,-1.3019190935,0.0001036292
8.0929242382,0.0005120358,-1.3003001654,0.0001000307
8.0890720903,0.0005064358,-1.2987220446,0.0001133716
8.0848814713,0.0005119200,-1.2970234502,0.0001101804
8.0809811354,0.0005101820,-1.2954309193,0.0001192768
8.0770017447,0.0005115337,-1.2938405810,0.0000945678
8.0730415581,0.0005098344,-1.2922183043,0.0001100888
8.0691495025,0.0005075944,-1.2906425802,0.0001071980
8.0649270510,0.0005050068,-1.2889387749,0.0000989548
8.0610646670,0.0005096026,-1.2873761126,0.0000961012
8.0570802476,0.0005094482,-1.2857576622,0.0001001254
8.0530633533,0.0005162840,-1.2841293599,0.0001014269
8.0486724641,0.0005088688,-1.2823402945,0.0001126960
8.0447300791,0.0005096412,-1.2807547229,0.0001026904
8.0407848799,0.0005137737,-1.2791689204,0.0000923847
8.0368932155,0.0005035391,-1.2775881467,0.0000993175
8.0327091983,0.0005087529,-1.2759035539,0.0000925279
8.0289933058,0.0005134647,-1.2743841408,0.0001104085
8.0253752026,0.0005026508,-1.2729238359,0.0001092590
8.0216280337,0.0005104909,-1.2714201797,0.0000999247
8.0173397232,0.0005060881,-1.2697003526,0.0000890235
8.0133206406,0.0005067446,-1.2680751905,0.0000928647
8.0093359728,0.0005018784,-1.2664721268,0.0000892192
8.0054558934,0.0005022646,-1.2649033758,0.0000941430
8.0011134983,0.0004941156,-1.2631543466,0.0000938575
7.9971134744,0.0004968963,-1.2615437914,0.0000938235
7.9931368974,0.0004960852,-1.2599433209,0.0000939210
7.9892753358,0.0004923390,-1.2583796746,0.0001042335
7.9850650008,0.0004993294,-1.2566983366,0.0000927986
7.9811374065,0.0004850397,-1.2551291219,0.0000837340
7.9771211462,0.0004978618,-1.2535152482,0.0000845272
7.9731123836,0.0004879362,-1.2518976679,0.0000928846
7.9692444310,0.0004915666,-1.2503510205,0.0000876470
7.9650631618,0.0004960852,-1.2486774932,0.0000844916
7.9612122500,0.0004858507,-1.2471283001,0.0000903216
7.9572849136,0.0004947335,-1.2455505944,0.0000948827
7.9532990714,0.0004834562,-1.2439675516,0.0000822304
7.9489623380,0.0004938452,-1.2422310518,0.0000835857
7.9450739424,0.0004866231,-1.2406726652,0.0000871289
7.9411315605,0.0004892879,-1.2390949225,0.0000893396
7.9371505623,0.0004972438,-1.2375098375,0.0000843883
7.9328001759,0.0004827610,-1.2357677001,0.0000900314
7.9289141507,0.0005008356,-1.2342179314,0.0000896233
7.9250887612,0.0004808300,-1.2327002279,0.0000822340
7.9212216672,0.0004971666,-1.2311535145,0.0000881424
7.9168894482,0.0004875114,-1.2294220823,0.0000945462
7.9129684491,0.0004864300,-1.2278592959,0.0000970600
7.9090772262,0.0004841128,-1.2263380351,0.0000708584
7.9052159391,0.0004855031,-1.2248005181,0.0000737735
7.9009156725,0.0004843059,-1.2230968648,0.0000694905
7.8969544857,0.0004819500,-1.2215162715,0.0000778837
7.8929571553,0.0004860438,-1.2199178692,0.0000907840
7.8890148594,0.0004765431,-1.2183532316,0.0000927837
7.8847620316,0.0004856576,-1.2166726085,0.0000888443
7.8809134308,0.0004769679,-1.2151574679,0.0000805870
7.8770388043,0.0004806755,-1.2136270835,0.0000782868
7.8731742617,0.0004812935,-1.2120880890,0.0000896077
7.8693326612,0.0004797100,-1.2105653985,0.0000947129
7.8651133336,0.0004824135,-1.2088966644,0.0000978244
7.8612490681,0.0004814480,-1.2073869915,0.0000831307
7.8573487373,0.0004880521,-1.2058454514,0.0000871437
7.8534421128,0.0004873183,-1.2043216795,0.0000719884
7.8491486124,0.0004882066,-1.2026232043,0.0000803921
7.8452610346,0.0004890949,-1.2010907483,0.0000837053
7.8413103946,0.0004815252,-1.1995462358,0.0000753906
7.8373330719,0.0004891722,-1.1979913712,0.0000680890
7.8329772534,0.0004915667,-1.1962782591,0.0000717047
7.8291037454,0.0004837266,-1.1947442289,0.0000867034
7.8252866966,0.0004980936,-1.1932669470,0.0000681856
7.8214211862,0.0004791694,-1.1917559026,0.0000655477
7.8170586202,0.0004975529,-1.1900570514,0.0000574262
7.8130457872,0.0004609017,-1.1884821477,0.0000634688
7.8091227060,0.0004876660,-1.1869330979,0.0000799322
