Alignment Data
x,y,z,zd
8.4087658582,0.0005556403,-1.4283760040,0.0001020189
8.4084981045,0.0005466030,-1.4282801612,0.0000911468
8.4064994755,0.0005429726,-1.4274853914,0.0000891472
8.4046069910,0.0005507740,-1.4267355022,0.0000842511
8.4018524366,0.0005492678,-1.4256341434,0.0000864340
8.3982219125,0.0005439380,-1.4241771014,0.0000937404
8.3934127996,0.0005511601,-1.4222439211,0.0001048186
8.3886356389,0.0005413503,-1.4203557914,0.0000817112
8.3838876262,0.0005571848,-1.4184489822,0.0000871185
8.3793334496,0.0005486881,-1.4166155127,0.0000951484
8.3751383729,0.0005649089,-1.4149470184,0.0000807427
8.3709332731,0.0005444783,-1.4132532237,0.0000863075
8.3673956875,0.0005523184,-1.4118274417,0.0000908608
8.3638650228,0.0005539790,-1.4104119380,0.0000870391
8.3601210490,0.0005652949,-1.4089033572,0.0000896108
8.3556742917,0.0005552920,-1.4070943913,0.0001086582
8.3514582414,0.0005545196,-1.4054005686,0.0001042451
8.3472585423,0.0005547899,-1.4037095352,0.0001025201
8.3431627929,0.0005578795,-1.4020533788,0.0001067836
8.3387732421,0.0005586519,-1.4002987120,0.0000899655
8.3349110353,0.0005548670,-1.3987253724,0.0001037314
8.3310954933,0.0005591539,-1.3971783155,0.0001092497
8.3273592938,0.0005449413,-1.3956594440,0.0001178833
8.3231990186,0.0005590765,-1.3939881390,0.0001066821
8.3192856700,0.0005435509,-1.3924191564,0.0000922300
8.3152425254,0.0005513909,-1.3907775589,0.0000970984
8.3112374769,0.0005544419,-1.3891369035,0.0001156964
8.3069683307,0.0005521632,-1.3874175630,0.0001052277
8.3031965019,0.0005421604,-1.3858848669,0.0001089682
8.2993536134,0.0005526652,-1.3843354647,0.0001000044
8.2954242242,0.0005371782,-1.3827376009,0.0001038156
8.2911061133,0.0005536693,-1.3809781637,0.0001108269
8.2872903697,0.0005351698,-1.3794268843,0.0001129893
8.2835039062,0.0005498458,-1.3779005691,0.0001015731
8.2796675942,0.0005376801,-1.3763415630,0.0001021147
8.2757652830,0.0005510816,-1.3747664322,0.0000914892
8.2714319655,0.0005352855,-1.3730083158,0.0000881630
8.2674426224,0.0005392248,-1.3713886278,0.0000857545
8.2634062080,0.0005398428,-1.3697534773,0.0000792300
8.2593430007,0.0005386841,-1.3681033730,0.0000763419
